Player,Team,Height,Weight,MinutesPlayed,UsageRate,AssistRate,ThreePtRate,FreeThrowRate,Reb_Off_3_48,Reb_Off_2_48,Reb_Def_3_48,Reb_Def_2_48
"Dewayne Dedmon",ATL,213,111,1609,16.7,8.1,0.413,0.215,1.2231,1.7899,4.8626,5.3101
"Andre Drummond",DET,211,126,2647,22.9,7.2,0.036,0.392,2.1035,5.4039,5.3313,8.0876
"Darius Miller",NO,203,102,1757,13.4,10.4,0.752,0.147,0.1912,0.1639,1.4206,1.5572
"Bruce Brown",DET,196,91,1449,11.5,8.8,0.296,0.191,0.6294,0.9275,1.3582,2.9482
"Malik Monk",CHA,190,90,1258,24.6,14.3,0.563,0.174,0.2671,0.3434,2.1367,2.3275
"Al Horford",BOS,208,111,1973,18.9,21.2,0.281,0.131,1.0948,1.7760,2.9681,4.7927
"Taurean Prince",ATL,203,99,1552,19.5,11.1,0.53,0.195,0.2474,0.4330,2.3814,2.9691
"Jahlil Okafor",NO,211,124,935,19.9,6.3,0.014,0.246,1.0781,2.9262,3.5936,5.7497
"James Ennis III",HOU,201,95,949,11.9,4.1,0.569,0.275,1.1633,0.7081,2.0232,1.7197
"Pascal Siakam",TOR,206,104,2548,20.8,14.6,0.226,0.32,0.9796,1.2810,3.3344,4.1068
"Tyreke Evans",IND,198,99,1402,26.4,17.5,0.327,0.242,0.2054,0.8559,2.9444,2.6705
"TJ Warren",PHX,203,97,1360,22.7,7.7,0.295,0.203,0.1765,0.1765,0.8824,0.8118
"Tim Frazier",NO,185,77,909,12.3,28,0.395,0.21,0.9505,0.6337,2.6931,2.4290
"JaVale McGee",LAL,213,122,1671,20.2,4.8,0.019,0.237,1.2639,4.1652,4.3088,5.5727
"Jusuf Nurkic",POR,213,124,1974,24.7,17.9,0.035,0.442,1.6049,4.1094,3.9635,7.7082
"Aaron Gordon",ORL,206,99,2633,21.8,16.6,0.332,0.242,0.6745,1.6407,3.5549,4.0289
"Josh Okogie",MIN,193,96,1757,15.4,6.9,0.423,0.319,0.2732,0.8196,2.2948,2.5407
"John Collins",ATL,208,106,1829,23.7,11,0.19,0.32,1.7583,3.9103,3.6479,5.0913
"Alec Burks",CLE,198,97,979,19.2,15,0.35,0.288,0.3432,0.8825,3.3830,3.9224
"Domantas Sabonis",IND,211,108,1838,23.5,18.2,0.024,0.416,0.8357,3.8912,4.8313,7.3645
"Trevor Ariza",WSH,203,97,1465,18.2,15.5,0.58,0.238,0.3276,0.7208,3.0143,2.2935
"Solomon Hill",NO,201,102,878,10.4,7.6,0.567,0.18,0.6560,1.1481,2.1321,3.0068
"Nikola Jokic",DEN,213,113,2504,27.4,37,0.224,0.292,0.9201,3.3930,4.0831,6.9968
"Cheick Diallo",NO,206,99,896,16,5.1,0.015,0.247,1.5000,2.5714,5.5714,6.8036
"Tony Parker",CHA,188,83,1003,25.5,33.3,0.11,0.268,0.1914,0.4786,1.3878,1.8664
"Rodions Kurucs",BKN,206,95,1294,18.4,6,0.41,0.205,0.8532,1.1128,2.5224,4.1175
"Ed Davis",BKN,208,102,1446,12.7,6,0.007,0.536,2.2241,4.8133,5.5436,9.1618
"Devin Booker",PHX,198,95,2242,32.9,34.1,0.33,0.362,0.3211,0.4924,1.7128,2.9331
