Player,Team,Age,Height,Weight,UsageRate,AssistRate,ThreePtRate,FreeThrowRate,TotalFouls,TotalBlocks,OR3_per48,OR2_per48,DR3_per48,DR2_per48
"Jeremy Lamb",CHA,26,196,83,22.5,11.9,0.337,0.266,140,32,0.3200,1.0240,3.2640,4.3733
"Seth Curry",POR,28,188,83,16.6,6.5,0.54,0.112,97,12,0.4117,0.5147,1.5440,1.6126
"Delon Wright",MEM,26,196,83,19.2,26.9,0.294,0.336,50,15,0.8379,0.9576,3.4713,2.6933
"Jae Crowder",UTAH,28,198,106,19.1,8.9,0.655,0.247,170,31,0.6870,0.5762,2.0831,4.2548
"Jamal Crawford",PHX,38,196,83,20.8,27.7,0.461,0.251,75,12,0.1585,0.1585,1.2287,1.7440
"Kyrie Irving",BOS,26,188,88,29.6,35,0.35,0.197,167,34,0.6287,0.9106,2.2981,3.3171
"Doug McDermott",IND,27,203,102,16.3,7.1,0.488,0.187,104,8,0.2507,0.3940,1.2179,1.7910
"Sterling Brown",MIL,23,198,105,15.2,10.7,0.471,0.135,88,8,0.6035,0.6499,3.2031,3.8530
"Andre Drummond",DET,25,211,126,22.9,7.2,0.036,0.392,272,138,2.1035,5.4039,5.3313,8.0876
"Patrick Patterson",OKC,29,206,104,12,4.6,0.626,0.137,46,13,0.7805,1.5610,2.2300,3.1220
"Lauri Markkanen",CHI,21,213,108,25.1,7.2,0.418,0.245,122,33,0.4566,1.6552,3.8240,6.5351
"Enes Kanter",NY,26,208,118,22.9,13.1,0.047,0.276,106,17,1.7872,5.3191,4.9362,6.6809
"Justin Jackson",SAC,23,203,95,12.9,8,0.539,0.169,67,13,0.3102,0.7978,2.8366,2.3490
"Mike Muscala",PHI,27,211,108,14.3,7.9,0.716,0.277,112,27,1.1988,1.0605,2.4438,4.1499
"Nikola Jokic",DEN,23,213,114,27.4,37,0.224,0.292,228,55,0.9201,3.3930,4.0831,6.9968
"Lou Williams",LAC,32,185,79,32.4,33,0.256,0.426,80,11,0.1927,0.7707,1.4932,2.6734
"Marvin Bagley III",SAC,19,211,108,24.2,5.9,0.136,0.371,120,59,1.2253,3.7064,4.1353,4.4110
"Chris Paul",HOU,33,183,79,22.5,39.3,0.493,0.282,146,18,0.4394,0.4911,2.7399,3.1793
"Tyus Jones",MIN,22,188,88,14.1,28.3,0.283,0.155,78,5,0.0923,0.6154,1.3846,1.9385
"Cheick Diallo",NO,22,206,99,16,5.1,0.015,0.247,113,33,1.5000,2.5714,5.5714,6.8036
"Julius Randle",NO,24,203,113,27.8,15.8,0.179,0.447,246,45,0.6022,2.7312,4.1290,4.8387
"Josh Richardson",MIA,25,198,90,20.9,17.9,0.448,0.225,200,34,0.3592,0.6239,1.7015,2.0796
"Tristan Thompson",CLE,27,208,107,17.7,11.2,0,0.279,89,16,0.8815,6.0100,3.4057,6.5710
"Danny Green",TOR,31,198,97,14.1,7.7,0.69,0.07,171,53,0.6065,0.6715,2.1661,3.3357
